date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20180322|0:30|21|Pacharapol Nipornram|Ruethaichanok Laisuan|14|Yehezkiel Fritz Mainaky [1]|Lyanny Alessandra Mainaky|FBB28C8F-2A3D-4CFD-AA87-98D60602D2BC|doubles
20180322|0:30|21|Pacharapol Nipornram|Ruethaichanok Laisuan|13|Yehezkiel Fritz Mainaky [1]|Lyanny Alessandra Mainaky|FBB28C8F-2A3D-4CFD-AA87-98D60602D2BC|doubles
20180322|0:35|21|Kenya Mitsuhashi|Naru Shinoya|14|Chang Ching-Yuan|Liu Chiao-Yun|FBB28C8F-2A3D-4CFD-AA87-98D60602D2BC|doubles
20180322|0:35|21|Kenya Mitsuhashi|Naru Shinoya|19|Chang Ching-Yuan|Liu Chiao-Yun|FBB28C8F-2A3D-4CFD-AA87-98D60602D2BC|doubles
20180322|0:35|21|Ahmad Maziri Mazlan |Lim Peiy Yee, Payee|19|Pham Hong Nam|Thi Mai Anh Nguyen|FBB28C8F-2A3D-4CFD-AA87-98D60602D2BC|doubles
20180322|0:35|25|Ahmad Maziri Mazlan |Lim Peiy Yee, Payee|23|Pham Hong Nam|Thi Mai Anh Nguyen|FBB28C8F-2A3D-4CFD-AA87-98D60602D2BC|doubles
20180322|0:30|21|Yang Ming-Tse|Sung Shuo Yun|8|Chen Sihang|Zha Yunqin|FBB28C8F-2A3D-4CFD-AA87-98D60602D2BC|doubles
20180322|0:30|21|Yang Ming-Tse|Sung Shuo Yun|15|Chen Sihang|Zha Yunqin|FBB28C8F-2A3D-4CFD-AA87-98D60602D2BC|doubles
20180322|0:20|21|Rinov Rivaldy|Pitha Haningtyas Mentari|12|Setthanan Piyawatcharavijit|Supamart Mingchua|FBB28C8F-2A3D-4CFD-AA87-98D60602D2BC|doubles
20180322|0:20|21|Rinov Rivaldy|Pitha Haningtyas Mentari|15|Setthanan Piyawatcharavijit|Supamart Mingchua|FBB28C8F-2A3D-4CFD-AA87-98D60602D2BC|doubles
20180322|0:31|21|An Thanh Huy |Pham Ngoc Bich|17|Chen Kuan-Hsien|Lee Wei Tzu|FBB28C8F-2A3D-4CFD-AA87-98D60602D2BC|doubles
20180322|0:31|21|An Thanh Huy |Pham Ngoc Bich|19|Chen Kuan-Hsien|Lee Wei Tzu|FBB28C8F-2A3D-4CFD-AA87-98D60602D2BC|doubles
20180322|0:30|21|Irfan Fadhilah|Pia Zebadiah Bernadet|13|Mohd Razlan Shah Mohd Ridzuan Shah|Khoo Erica Pei Shan|FBB28C8F-2A3D-4CFD-AA87-98D60602D2BC|doubles
20180322|0:30|21|Irfan Fadhilah|Pia Zebadiah Bernadet|15|Mohd Razlan Shah Mohd Ridzuan Shah|Khoo Erica Pei Shan|FBB28C8F-2A3D-4CFD-AA87-98D60602D2BC|doubles
20180322|0:35|21|Parinyawat Thongnuam|Kittipak Dubthuk|15|Chi Yu Jen [2]|Hsieh Pei Shan|FBB28C8F-2A3D-4CFD-AA87-98D60602D2BC|doubles
20180322|0:35|21|Parinyawat Thongnuam|Kittipak Dubthuk|16|Chi Yu Jen [2]|Hsieh Pei Shan|FBB28C8F-2A3D-4CFD-AA87-98D60602D2BC|doubles
20180322|0:32|21|Rajat Rathore|none|18|Tran Quang Dinh|none|FBB28C8F-2A3D-4CFD-AA87-98D60602D2BC|singles
20180322|0:32|21|Rajat Rathore|none|13|Tran Quang Dinh|none|FBB28C8F-2A3D-4CFD-AA87-98D60602D2BC|singles
20180322|0:35|21|Gatjra Piliang Fiqihila Cupu|none|15|Phuah Vincent Cheng Wei|none|FBB28C8F-2A3D-4CFD-AA87-98D60602D2BC|singles
20180322|0:35|21|Gatjra Piliang Fiqihila Cupu|none|14|Phuah Vincent Cheng Wei|none|FBB28C8F-2A3D-4CFD-AA87-98D60602D2BC|singles
20180322|0:30|21|Hua Chun Liang|none|12|Hardik Makkar|none|FBB28C8F-2A3D-4CFD-AA87-98D60602D2BC|singles
20180322|0:30|21|Hua Chun Liang|none|15|Hardik Makkar|none|FBB28C8F-2A3D-4CFD-AA87-98D60602D2BC|singles
20180322|0:26|21|Soh Shi Xuan Dominic|none|14|Nguyen Xuan Manh|none|FBB28C8F-2A3D-4CFD-AA87-98D60602D2BC|singles
20180322|0:26|21|Soh Shi Xuan Dominic|none|9|Nguyen Xuan Manh|none|FBB28C8F-2A3D-4CFD-AA87-98D60602D2BC|singles
20180322|0:42|12|Anant Shivam Jindal|none|21|Adnan Ebrahim|none|FBB28C8F-2A3D-4CFD-AA87-98D60602D2BC|singles
20180322|0:42|21|Anant Shivam Jindal|none|11|Adnan Ebrahim|none|FBB28C8F-2A3D-4CFD-AA87-98D60602D2BC|singles
20180322|0:42|21|Anant Shivam Jindal|none|13|Adnan Ebrahim|none|FBB28C8F-2A3D-4CFD-AA87-98D60602D2BC|singles
20180322|0:27|21|Lai Yu-Hua |none|16|Pui Pang Fong|none|FBB28C8F-2A3D-4CFD-AA87-98D60602D2BC|singles
20180322|0:27|21|Lai Yu-Hua |none|12|Pui Pang Fong|none|FBB28C8F-2A3D-4CFD-AA87-98D60602D2BC|singles
20180322|0:50|16|Nyoman Tryadnya Arya Kurniawan|none|21|Nguyen Thien Loc|none|FBB28C8F-2A3D-4CFD-AA87-98D60602D2BC|singles
20180322|0:50|21|Nyoman Tryadnya Arya Kurniawan|none|12|Nguyen Thien Loc|none|FBB28C8F-2A3D-4CFD-AA87-98D60602D2BC|singles
20180322|0:50|21|Nyoman Tryadnya Arya Kurniawan|none|18|Nguyen Thien Loc|none|FBB28C8F-2A3D-4CFD-AA87-98D60602D2BC|singles
20180322|0:25|21|Takuma Obayashi|none|7|Mayank Ahuja|none|FBB28C8F-2A3D-4CFD-AA87-98D60602D2BC|singles
20180322|0:25|21|Takuma Obayashi|none|12|Mayank Ahuja|none|FBB28C8F-2A3D-4CFD-AA87-98D60602D2BC|singles
20180322|0:55|23|Le Thanh Lam|none|25|Vichayapong Kanjanakeereewong|none|FBB28C8F-2A3D-4CFD-AA87-98D60602D2BC|singles
20180322|0:55|21|Le Thanh Lam|none|18|Vichayapong Kanjanakeereewong|none|FBB28C8F-2A3D-4CFD-AA87-98D60602D2BC|singles
20180322|0:55|21|Le Thanh Lam|none|15|Vichayapong Kanjanakeereewong|none|FBB28C8F-2A3D-4CFD-AA87-98D60602D2BC|singles
20180322|0:32|21|Yang Chih Chieh |none|17|Jhotiswaran Karupathevan|none|FBB28C8F-2A3D-4CFD-AA87-98D60602D2BC|singles
20180322|0:32|21|Yang Chih Chieh |none|10|Jhotiswaran Karupathevan|none|FBB28C8F-2A3D-4CFD-AA87-98D60602D2BC|singles
20180322|0:31|21|Hung Chun Chung|none|12|Muhammad Naim Ahmad Fairuzly|none|FBB28C8F-2A3D-4CFD-AA87-98D60602D2BC|singles
20180322|0:31|21|Hung Chun Chung|none|17|Muhammad Naim Ahmad Fairuzly|none|FBB28C8F-2A3D-4CFD-AA87-98D60602D2BC|singles
20180322|0:35|21|Muhammad Bayu Pangisthu |none|13|Nguyen Hai Dang|none|FBB28C8F-2A3D-4CFD-AA87-98D60602D2BC|singles
20180322|0:35|21|Muhammad Bayu Pangisthu |none|15|Nguyen Hai Dang|none|FBB28C8F-2A3D-4CFD-AA87-98D60602D2BC|singles
20180322|0:25|21|Setthanan Piyawatcharavijit|none|19|Truong Thanh Long [5]|none|FBB28C8F-2A3D-4CFD-AA87-98D60602D2BC|singles
20180322|0:25|21|Setthanan Piyawatcharavijit|none|17|Truong Thanh Long [5]|none|FBB28C8F-2A3D-4CFD-AA87-98D60602D2BC|singles
20180322|0:31|21|Yehezkiel Fritz Mainaky|none|11|Tang Kai Ho [6]|none|FBB28C8F-2A3D-4CFD-AA87-98D60602D2BC|singles
