date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20140402|0:30|21|Anna Doi|none|10|Mayu Matsumoto|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140402|0:30|21|Anna Doi|none|17|Mayu Matsumoto|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140402|0:26|21|Rei Nagata|none|10|Joo I Jun|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140402|0:26|21|Rei Nagata|none|12|Joo I Jun|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140402|0:48|18|Sylvia Kavita Kumares|none|21|Yukino Nakai|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140402|0:48|21|Sylvia Kavita Kumares|none|15|Yukino Nakai|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140402|0:48|21|Sylvia Kavita Kumares|none|13|Yukino Nakai|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140402|0:57|19|Natsuki Oie|none|21|Shiori Ebihara|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140402|0:57|21|Natsuki Oie|none|14|Shiori Ebihara|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140402|0:57|21|Natsuki Oie|none|18|Shiori Ebihara|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140402|0:32|21|Haruko Suzuki|none|14|Rui Chen Yap|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140402|0:32|21|Haruko Suzuki|none|15|Rui Chen Yap|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140402|0:23|21|Eriko Tamaki|none|8|Ayako Sakuramoto|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140402|0:23|21|Eriko Tamaki|none|16|Ayako Sakuramoto|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140402|0:22|21|Moe Araki|none|11|Su Yu Chen|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140402|0:22|21|Moe Araki|none|6|Su Yu Chen|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140402|0:45|21|Saena Kawakami|none|23|Chiang Pei Hsin|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140402|0:45|21|Saena Kawakami|none|13|Chiang Pei Hsin|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140402|0:45|21|Saena Kawakami|none|10|Chiang Pei Hsin|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140402|0:44|21|Shizuka Inoue|none|15|Saya Yamamoto|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140402|0:44|21|Shizuka Inoue|none|14|Saya Yamamoto|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140402|0:18|21|Yosei Yamaguchi|none|4|Tsolmon Munkhbat|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140402|0:18|21|Yosei Yamaguchi|none|8|Tsolmon Munkhbat|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140402|0:48|21|Koki Watanabe|none|15|Chang Tak Ching|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140402|0:48|18|Koki Watanabe|none|21|Chang Tak Ching|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140402|0:48|21|Koki Watanabe|none|17|Chang Tak Ching|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140402|0:19|21|Yoshitaka Ogura|none|5|Yu Woon Jaspar|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140402|0:19|21|Yoshitaka Ogura|none|5|Yu Woon Jaspar|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140402|0:30|21|Lee Hong Je|none|18|Daigo Kobayashi|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140402|0:30|21|Lee Hong Je|none|9|Daigo Kobayashi|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140402|0:36|21|Ryotaro Maruo|none|7|Yang Chih Chieh|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140402|0:36|21|Ryotaro Maruo|none|17|Yang Chih Chieh|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140402|0:25|21|Shu Wada|none|12|Peranut Boontan|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140402|0:25|21|Shu Wada|none|12|Peranut Boontan|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140402|0:26|21|Minami Kawashima|Nami Matsuyama|17|Shiori Ebihara|Shiori Saito|408B720B-55D7-4E97-9204-8E24777B90CA|doubles
20140402|0:26|21|Minami Kawashima|Nami Matsuyama|10|Shiori Ebihara|Shiori Saito|408B720B-55D7-4E97-9204-8E24777B90CA|doubles
20140402|0:30|21|Anri Imai|Mai Omori|14|Saori Hayakawa|Mayu Matsumoto|408B720B-55D7-4E97-9204-8E24777B90CA|doubles
20140402|0:30|21|Anri Imai|Mai Omori|9|Saori Hayakawa|Mayu Matsumoto|408B720B-55D7-4E97-9204-8E24777B90CA|doubles
20140402|0:32|21|Mai Hattori|Yukari Jin|16|Saya Azuma|Natsuki Oie|408B720B-55D7-4E97-9204-8E24777B90CA|doubles
20140402|0:32|21|Mai Hattori|Yukari Jin|15|Saya Azuma|Natsuki Oie|408B720B-55D7-4E97-9204-8E24777B90CA|doubles
20140402|0:41|21|Mai Hamasaki|Megumi Yokoyama|18|Erika Aman|Saki Hayata|408B720B-55D7-4E97-9204-8E24777B90CA|doubles
20140402|0:41|21|Mai Hamasaki|Megumi Yokoyama|17|Erika Aman|Saki Hayata|408B720B-55D7-4E97-9204-8E24777B90CA|doubles
20140402|0:58|17|Aki Hirai|Kaede Kameda|21|Moe Araki|Saena Kawakami|408B720B-55D7-4E97-9204-8E24777B90CA|doubles
20140402|0:58|21|Aki Hirai|Kaede Kameda|16|Moe Araki|Saena Kawakami|408B720B-55D7-4E97-9204-8E24777B90CA|doubles
20140402|0:58|21|Aki Hirai|Kaede Kameda|18|Moe Araki|Saena Kawakami|408B720B-55D7-4E97-9204-8E24777B90CA|doubles
20140402|0:26|21|Katsunori Ito|Ryota Sando|17|Daigo Kobayashi|Koki Ohira|408B720B-55D7-4E97-9204-8E24777B90CA|doubles
20140402|0:26|21|Katsunori Ito|Ryota Sando|15|Daigo Kobayashi|Koki Ohira|408B720B-55D7-4E97-9204-8E24777B90CA|doubles
20140402|0:51|22|Akira Koga|Taichi Saito|24|Ko-Chi Chang|Wang Chih Hao|408B720B-55D7-4E97-9204-8E24777B90CA|doubles
20140402|0:51|21|Akira Koga|Taichi Saito|17|Ko-Chi Chang|Wang Chih Hao|408B720B-55D7-4E97-9204-8E24777B90CA|doubles
20140402|0:51|21|Akira Koga|Taichi Saito|19|Ko-Chi Chang|Wang Chih Hao|408B720B-55D7-4E97-9204-8E24777B90CA|doubles
20140402|0:28|21|Yuki Umino|Yuta Yamasaki|14|Muhammad Hafifi Hashim|Muhammad Hafizi Hashim|408B720B-55D7-4E97-9204-8E24777B90CA|doubles
20140402|0:28|21|Yuki Umino|Yuta Yamasaki|15|Muhammad Hafifi Hashim|Muhammad Hafizi Hashim|408B720B-55D7-4E97-9204-8E24777B90CA|doubles
20140402|0:24|21|Sumiya Nihei|Masayuki Onodera|17|Koki Watanabe|Naoki Yamazawa|408B720B-55D7-4E97-9204-8E24777B90CA|doubles
20140402|0:24|21|Sumiya Nihei|Masayuki Onodera|16|Koki Watanabe|Naoki Yamazawa|408B720B-55D7-4E97-9204-8E24777B90CA|doubles
20140402|0:22|21|Chu-En Huang|Wang Chia Min|16|Keita Ogawa|Yoshitaka Ogura|408B720B-55D7-4E97-9204-8E24777B90CA|doubles
20140402|0:22|21|Chu-En Huang|Wang Chia Min|10|Keita Ogawa|Yoshitaka Ogura|408B720B-55D7-4E97-9204-8E24777B90CA|doubles
20140402|0:49|21|Chee Tean Tan|Wong Fai Yin|11|Yutaka Nishi|Daiki Shimokawa|408B720B-55D7-4E97-9204-8E24777B90CA|doubles
20140402|0:49|11|Chee Tean Tan|Wong Fai Yin|21|Yutaka Nishi|Daiki Shimokawa|408B720B-55D7-4E97-9204-8E24777B90CA|doubles
20140402|0:49|21|Chee Tean Tan|Wong Fai Yin|19|Yutaka Nishi|Daiki Shimokawa|408B720B-55D7-4E97-9204-8E24777B90CA|doubles
20140402|0:33|21|Kazuki Matsumaru |Izumi Okoshi|10|Hikaru Komachiya|Daisuke Suzuki|408B720B-55D7-4E97-9204-8E24777B90CA|doubles
20140402|0:33|21|Kazuki Matsumaru |Izumi Okoshi|16|Hikaru Komachiya|Daisuke Suzuki|408B720B-55D7-4E97-9204-8E24777B90CA|doubles
20140402|0:20|21|Anna Doi|none|3|Anna Astrakhantseva [1]|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140402|0:20|21|Anna Doi|none|3|Anna Astrakhantseva [1]|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140402|0:32|21|Nozomi Okuhara|none|17|Rei Nagata|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140402|0:32|21|Nozomi Okuhara|none|9|Rei Nagata|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140402|0:26|21|Chen Shih Ying |none|8|Sylvia Kavita Kumares|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140402|0:26|21|Chen Shih Ying |none|15|Sylvia Kavita Kumares|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140402|0:28|21|Chisato Hoshi|none|13|Natsuki Oie|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140402|0:28|21|Chisato Hoshi|none|9|Natsuki Oie|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140402|1:03|21|Eriko Tamaki|none|16|Haruko Suzuki|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140402|1:03|15|Eriko Tamaki|none|21|Haruko Suzuki|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140402|1:03|22|Eriko Tamaki|none|20|Haruko Suzuki|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140402|0:45|21|Na Young Kim |none|19|Moe Araki|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140402|0:45|16|Na Young Kim |none|21|Moe Araki|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140402|0:45|21|Na Young Kim |none|13|Moe Araki|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140402|0:34|21|Haruna Kita|none|16|Saena Kawakami|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140402|0:34|21|Haruna Kita|none|11|Saena Kawakami|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140402|0:37|21|Shizuka Inoue|none|12|Lee Zii Yii [2]|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140402|0:37|21|Shizuka Inoue|none|19|Lee Zii Yii [2]|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140402|0:44|21|Yosei Yamaguchi|none|14|Daiki Shimokawa|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140402|0:44|21|Yosei Yamaguchi|none|16|Daiki Shimokawa|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140402|0:26|21|Akira Koga |none|14|Koki Watanabe|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140402|0:26|21|Akira Koga |none|13|Koki Watanabe|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140402|0:28|21|Yoshitaka Ogura|none|10|Takahiro Hiramatsu|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140402|0:28|21|Yoshitaka Ogura|none|15|Takahiro Hiramatsu|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140402|0:31|21|Lee Hong Je|none|15|Wibowo Kho Henrikho|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140402|0:31|21|Lee Hong Je|none|15|Wibowo Kho Henrikho|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140402|0:44|21|Ryotaro Maruo|none|17|Rei Sato [4]|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140402|0:44|21|Ryotaro Maruo|none|13|Rei Sato [4]|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140402|0:26|21|Shu Wada|none|12|Kentaro Hoshino|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140402|0:26|21|Shu Wada|none|13|Kentaro Hoshino|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140403|0:30|21|Anna Doi|none|10|Mayu Matsumoto|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140403|0:30|21|Anna Doi|none|17|Mayu Matsumoto|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140403|0:26|21|Rei Nagata|none|10|Joo I Jun|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140403|0:26|21|Rei Nagata|none|12|Joo I Jun|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140403|0:48|18|Sylvia Kavita Kumares|none|21|Yukino Nakai|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140403|0:48|21|Sylvia Kavita Kumares|none|15|Yukino Nakai|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140403|0:48|21|Sylvia Kavita Kumares|none|13|Yukino Nakai|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140403|0:57|19|Natsuki Oie|none|21|Shiori Ebihara|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140403|0:57|21|Natsuki Oie|none|14|Shiori Ebihara|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140403|0:57|21|Natsuki Oie|none|18|Shiori Ebihara|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140403|0:32|21|Haruko Suzuki|none|14|Rui Chen Yap|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140403|0:32|21|Haruko Suzuki|none|15|Rui Chen Yap|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140403|0:23|21|Eriko Tamaki|none|8|Ayako Sakuramoto|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140403|0:23|21|Eriko Tamaki|none|16|Ayako Sakuramoto|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140403|0:22|21|Moe Araki|none|11|Su Yu Chen|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140403|0:22|21|Moe Araki|none|6|Su Yu Chen|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140403|0:45|21|Saena Kawakami|none|23|Chiang Pei Hsin|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140403|0:45|21|Saena Kawakami|none|13|Chiang Pei Hsin|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140403|0:45|21|Saena Kawakami|none|10|Chiang Pei Hsin|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140403|0:44|21|Shizuka Inoue|none|15|Saya Yamamoto|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140403|0:44|21|Shizuka Inoue|none|14|Saya Yamamoto|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140403|0:18|21|Yosei Yamaguchi|none|4|Tsolmon Munkhbat|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140403|0:18|21|Yosei Yamaguchi|none|8|Tsolmon Munkhbat|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140403|0:48|21|Koki Watanabe|none|15|Chang Tak Ching|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140403|0:48|18|Koki Watanabe|none|21|Chang Tak Ching|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140403|0:48|21|Koki Watanabe|none|17|Chang Tak Ching|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140403|0:19|21|Yoshitaka Ogura|none|5|Yu Woon Jaspar|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140403|0:19|21|Yoshitaka Ogura|none|5|Yu Woon Jaspar|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140403|0:30|21|Lee Hong Je|none|18|Daigo Kobayashi|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140403|0:30|21|Lee Hong Je|none|9|Daigo Kobayashi|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140403|0:36|21|Ryotaro Maruo|none|7|Yang Chih Chieh|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140403|0:36|21|Ryotaro Maruo|none|17|Yang Chih Chieh|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140403|0:25|21|Shu Wada|none|12|Peranut Boontan|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140403|0:25|21|Shu Wada|none|12|Peranut Boontan|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140403|0:26|21|Minami Kawashima|Nami Matsuyama|17|Shiori Ebihara|Shiori Saito|408B720B-55D7-4E97-9204-8E24777B90CA|doubles
20140403|0:26|21|Minami Kawashima|Nami Matsuyama|10|Shiori Ebihara|Shiori Saito|408B720B-55D7-4E97-9204-8E24777B90CA|doubles
20140403|0:30|21|Anri Imai|Mai Omori|14|Saori Hayakawa|Mayu Matsumoto|408B720B-55D7-4E97-9204-8E24777B90CA|doubles
20140403|0:30|21|Anri Imai|Mai Omori|9|Saori Hayakawa|Mayu Matsumoto|408B720B-55D7-4E97-9204-8E24777B90CA|doubles
20140403|0:32|21|Mai Hattori|Yukari Jin|16|Saya Azuma|Natsuki Oie|408B720B-55D7-4E97-9204-8E24777B90CA|doubles
20140403|0:32|21|Mai Hattori|Yukari Jin|15|Saya Azuma|Natsuki Oie|408B720B-55D7-4E97-9204-8E24777B90CA|doubles
20140403|0:41|21|Mai Hamasaki|Megumi Yokoyama|18|Erika Aman|Saki Hayata|408B720B-55D7-4E97-9204-8E24777B90CA|doubles
20140403|0:41|21|Mai Hamasaki|Megumi Yokoyama|17|Erika Aman|Saki Hayata|408B720B-55D7-4E97-9204-8E24777B90CA|doubles
20140403|0:58|17|Aki Hirai|Kaede Kameda|21|Moe Araki|Saena Kawakami|408B720B-55D7-4E97-9204-8E24777B90CA|doubles
20140403|0:58|21|Aki Hirai|Kaede Kameda|16|Moe Araki|Saena Kawakami|408B720B-55D7-4E97-9204-8E24777B90CA|doubles
20140403|0:58|21|Aki Hirai|Kaede Kameda|18|Moe Araki|Saena Kawakami|408B720B-55D7-4E97-9204-8E24777B90CA|doubles
20140403|0:26|21|Katsunori Ito|Ryota Sando|17|Daigo Kobayashi|Koki Ohira|408B720B-55D7-4E97-9204-8E24777B90CA|doubles
20140403|0:26|21|Katsunori Ito|Ryota Sando|15|Daigo Kobayashi|Koki Ohira|408B720B-55D7-4E97-9204-8E24777B90CA|doubles
20140403|0:51|22|Akira Koga|Taichi Saito|24|Ko-Chi Chang|Wang Chih Hao|408B720B-55D7-4E97-9204-8E24777B90CA|doubles
20140403|0:51|21|Akira Koga|Taichi Saito|17|Ko-Chi Chang|Wang Chih Hao|408B720B-55D7-4E97-9204-8E24777B90CA|doubles
20140403|0:51|21|Akira Koga|Taichi Saito|19|Ko-Chi Chang|Wang Chih Hao|408B720B-55D7-4E97-9204-8E24777B90CA|doubles
20140403|0:28|21|Yuki Umino|Yuta Yamasaki|14|Muhammad Hafifi Hashim|Muhammad Hafizi Hashim|408B720B-55D7-4E97-9204-8E24777B90CA|doubles
20140403|0:28|21|Yuki Umino|Yuta Yamasaki|15|Muhammad Hafifi Hashim|Muhammad Hafizi Hashim|408B720B-55D7-4E97-9204-8E24777B90CA|doubles
20140403|0:24|21|Sumiya Nihei|Masayuki Onodera|17|Koki Watanabe|Naoki Yamazawa|408B720B-55D7-4E97-9204-8E24777B90CA|doubles
20140403|0:24|21|Sumiya Nihei|Masayuki Onodera|16|Koki Watanabe|Naoki Yamazawa|408B720B-55D7-4E97-9204-8E24777B90CA|doubles
20140403|0:22|21|Chu-En Huang|Wang Chia Min|16|Keita Ogawa|Yoshitaka Ogura|408B720B-55D7-4E97-9204-8E24777B90CA|doubles
20140403|0:22|21|Chu-En Huang|Wang Chia Min|10|Keita Ogawa|Yoshitaka Ogura|408B720B-55D7-4E97-9204-8E24777B90CA|doubles
20140403|0:49|21|Chee Tean Tan|Wong Fai Yin|11|Yutaka Nishi|Daiki Shimokawa|408B720B-55D7-4E97-9204-8E24777B90CA|doubles
20140403|0:49|11|Chee Tean Tan|Wong Fai Yin|21|Yutaka Nishi|Daiki Shimokawa|408B720B-55D7-4E97-9204-8E24777B90CA|doubles
20140403|0:49|21|Chee Tean Tan|Wong Fai Yin|19|Yutaka Nishi|Daiki Shimokawa|408B720B-55D7-4E97-9204-8E24777B90CA|doubles
20140403|0:33|21|Kazuki Matsumaru |Izumi Okoshi|10|Hikaru Komachiya|Daisuke Suzuki|408B720B-55D7-4E97-9204-8E24777B90CA|doubles
20140403|0:33|21|Kazuki Matsumaru |Izumi Okoshi|16|Hikaru Komachiya|Daisuke Suzuki|408B720B-55D7-4E97-9204-8E24777B90CA|doubles
20140403|0:20|21|Anna Doi|none|3|Anna Astrakhantseva [1]|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140403|0:20|21|Anna Doi|none|3|Anna Astrakhantseva [1]|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140403|0:32|21|Nozomi Okuhara|none|17|Rei Nagata|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140403|0:32|21|Nozomi Okuhara|none|9|Rei Nagata|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140403|0:26|21|Chen Shih Ying |none|8|Sylvia Kavita Kumares|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140403|0:26|21|Chen Shih Ying |none|15|Sylvia Kavita Kumares|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140403|0:28|21|Chisato Hoshi|none|13|Natsuki Oie|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140403|0:28|21|Chisato Hoshi|none|9|Natsuki Oie|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140403|1:03|21|Eriko Tamaki|none|16|Haruko Suzuki|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140403|1:03|15|Eriko Tamaki|none|21|Haruko Suzuki|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140403|1:03|22|Eriko Tamaki|none|20|Haruko Suzuki|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140403|0:45|21|Na Young Kim |none|19|Moe Araki|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140403|0:45|16|Na Young Kim |none|21|Moe Araki|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140403|0:45|21|Na Young Kim |none|13|Moe Araki|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140403|0:34|21|Haruna Kita|none|16|Saena Kawakami|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140403|0:34|21|Haruna Kita|none|11|Saena Kawakami|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140403|0:37|21|Shizuka Inoue|none|12|Lee Zii Yii [2]|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140403|0:37|21|Shizuka Inoue|none|19|Lee Zii Yii [2]|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140403|0:44|21|Yosei Yamaguchi|none|14|Daiki Shimokawa|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140403|0:44|21|Yosei Yamaguchi|none|16|Daiki Shimokawa|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140403|0:26|21|Akira Koga |none|14|Koki Watanabe|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140403|0:26|21|Akira Koga |none|13|Koki Watanabe|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140403|0:28|21|Yoshitaka Ogura|none|10|Takahiro Hiramatsu|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140403|0:28|21|Yoshitaka Ogura|none|15|Takahiro Hiramatsu|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140403|0:31|21|Lee Hong Je|none|15|Wibowo Kho Henrikho|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140403|0:31|21|Lee Hong Je|none|15|Wibowo Kho Henrikho|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140403|0:44|21|Ryotaro Maruo|none|17|Rei Sato [4]|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140403|0:44|21|Ryotaro Maruo|none|13|Rei Sato [4]|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140403|0:26|21|Shu Wada|none|12|Kentaro Hoshino|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140403|0:26|21|Shu Wada|none|13|Kentaro Hoshino|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140404|0:30|21|Anna Doi|none|10|Mayu Matsumoto|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140404|0:30|21|Anna Doi|none|17|Mayu Matsumoto|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140404|0:26|21|Rei Nagata|none|10|Joo I Jun|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140404|0:26|21|Rei Nagata|none|12|Joo I Jun|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140404|0:48|18|Sylvia Kavita Kumares|none|21|Yukino Nakai|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140404|0:48|21|Sylvia Kavita Kumares|none|15|Yukino Nakai|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140404|0:48|21|Sylvia Kavita Kumares|none|13|Yukino Nakai|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140404|0:57|19|Natsuki Oie|none|21|Shiori Ebihara|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140404|0:57|21|Natsuki Oie|none|14|Shiori Ebihara|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140404|0:57|21|Natsuki Oie|none|18|Shiori Ebihara|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140404|0:32|21|Haruko Suzuki|none|14|Rui Chen Yap|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140404|0:32|21|Haruko Suzuki|none|15|Rui Chen Yap|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140404|0:23|21|Eriko Tamaki|none|8|Ayako Sakuramoto|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140404|0:23|21|Eriko Tamaki|none|16|Ayako Sakuramoto|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140404|0:22|21|Moe Araki|none|11|Su Yu Chen|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140404|0:22|21|Moe Araki|none|6|Su Yu Chen|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140404|0:45|21|Saena Kawakami|none|23|Chiang Pei Hsin|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140404|0:45|21|Saena Kawakami|none|13|Chiang Pei Hsin|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140404|0:45|21|Saena Kawakami|none|10|Chiang Pei Hsin|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140404|0:44|21|Shizuka Inoue|none|15|Saya Yamamoto|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140404|0:44|21|Shizuka Inoue|none|14|Saya Yamamoto|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140404|0:18|21|Yosei Yamaguchi|none|4|Tsolmon Munkhbat|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
20140404|0:18|21|Yosei Yamaguchi|none|8|Tsolmon Munkhbat|none|408B720B-55D7-4E97-9204-8E24777B90CA|singles
